3400.000	4.1135E-16	0
3401.534	4.6987E-16	0
3403.069	4.8791E-16	0
3404.603	5.1670E-16	0
3406.137	4.4857E-16	0
3407.672	4.2563E-16	0
3409.206	4.4604E-16	0
3410.740	4.1883E-16	0
3412.275	3.8829E-16	0
3413.809	3.6261E-16	0
3415.343	3.2161E-16	0
3416.878	4.2552E-16	0
3418.412	4.9223E-16	0
3419.946	4.9908E-16	0
3421.480	4.6559E-16	0
3423.015	4.3081E-16	0
3424.549	3.9551E-16	0
3426.083	3.7188E-16	0
3427.618	3.5948E-16	0
3429.152	3.4187E-16	0
3430.687	3.6727E-16	0
3432.221	3.6580E-16	0
3433.755	3.1974E-16	0
3435.290	3.6897E-16	0
3436.824	5.4170E-16	0
3438.358	5.5993E-16	0
3439.893	5.5768E-16	0
3441.427	4.7982E-16	0
3442.961	4.2715E-16	0
3444.495	4.2267E-16	0
3446.030	3.4896E-16	0
3447.564	3.6888E-16	0
3449.098	3.6139E-16	0
3450.633	2.8969E-16	0
3452.167	3.3039E-16	0
3453.701	2.9393E-16	0
3455.236	4.1543E-16	0
3456.770	4.7144E-16	0
3458.304	4.3578E-16	0
3459.839	4.3614E-16	0
3461.373	4.0295E-16	0
3462.907	4.7015E-16	0
3464.442	4.1307E-16	0
3465.976	3.4383E-16	0
3467.510	4.1547E-16	0
3469.045	4.1542E-16	0
3470.579	4.2930E-16	0
3472.113	4.1337E-16	0
3473.648	4.2160E-16	0
3475.182	3.6710E-16	0
3476.716	3.6855E-16	0
3478.251	4.3902E-16	0
3479.785	3.7148E-16	0
3481.319	3.1029E-16	0
3482.854	3.5001E-16	0
3484.388	3.1354E-16	0
3485.922	3.5003E-16	0
3487.457	3.2137E-16	0
3488.991	3.5296E-16	0
3490.525	4.5286E-16	0
3492.060	5.0672E-16	0
3493.594	4.4468E-16	0
3495.128	4.2952E-16	0
3496.663	4.1274E-16	0
3498.197	4.6408E-16	0
3499.731	4.6862E-16	0
3501.266	3.7975E-16	0
3502.800	4.3375E-16	0
3504.334	4.9075E-16	0
3505.869	4.4366E-16	0
3507.403	4.4327E-16	0
3508.937	4.3471E-16	0
3510.471	3.9585E-16	0
3512.006	3.9152E-16	0
3513.540	4.5085E-16	0
3515.074	4.2360E-16	0
3516.609	4.3333E-16	0
3518.143	4.5379E-16	0
3519.677	3.7218E-16	0
3521.212	3.7549E-16	0
3522.746	3.3037E-16	0
3524.281	2.9211E-16	0
3525.815	2.6524E-16	0
3527.349	2.7035E-16	0
3528.884	3.4475E-16	0
3530.418	3.2856E-16	0
3531.952	3.1601E-16	0
3533.486	2.9304E-16	0
3535.021	3.1341E-16	0
3536.555	3.3324E-16	0
3538.089	2.9909E-16	0
3539.624	3.3425E-16	0
3541.158	3.2519E-16	0
3542.692	2.6155E-16	0
3544.227	2.4942E-16	0
3545.761	2.2454E-16	0
3547.295	2.1934E-16	0
3548.830	2.4739E-16	0
3550.364	1.9567E-16	0
3551.898	3.1147E-16	0
3553.433	3.1857E-16	0
3554.967	2.3969E-16	0
3556.501	2.3080E-16	0
3558.036	2.7812E-16	0
3559.570	2.7511E-16	0
3561.104	2.9354E-16	0
3562.639	2.6164E-16	0
3564.173	2.6085E-16	0
3565.707	2.8205E-16	0
3567.242	2.6952E-16	0
3568.776	2.8930E-16	0
3570.310	3.2821E-16	0
3571.844	3.3287E-16	0
3573.379	2.9340E-16	0
3574.913	3.3142E-16	0
3576.448	2.5667E-16	0
3577.982	2.9425E-16	0
3579.516	3.3749E-16	0
3581.051	3.3326E-16	0
3582.585	2.9278E-16	0
3584.119	2.8378E-16	0
3585.654	3.0012E-16	0
3587.188	3.7410E-16	0
3588.722	4.3510E-16	0
3590.257	4.4895E-16	0
3591.791	3.3238E-16	0
3593.325	3.3384E-16	0
3594.860	3.2038E-16	0
3596.394	3.2477E-16	0
3597.928	3.1266E-16	0
3599.462	3.1781E-16	0
3600.997	3.0785E-16	0
3602.531	2.8063E-16	0
3604.065	2.8775E-16	0
3605.600	3.3368E-16	0
3607.134	3.4263E-16	0
3608.668	3.3490E-16	0
3610.203	3.1037E-16	0
3611.737	2.9768E-16	0
3613.271	3.3247E-16	0
3614.806	3.3663E-16	0
3616.340	3.2816E-16	0
3617.875	3.1014E-16	0
3619.409	2.8519E-16	0
3620.943	2.6475E-16	0
3622.477	2.8358E-16	0
3624.012	3.3781E-16	0
3625.546	3.7999E-16	0
3627.080	3.7086E-16	0
3628.615	3.4976E-16	0
3630.149	3.2329E-16	0
3631.683	2.8005E-16	0
3633.218	2.2399E-16	0
3634.752	2.7067E-16	0
3636.286	3.2121E-16	0
3637.821	3.1203E-16	0
3639.355	3.1027E-16	0
3640.889	3.1095E-16	0
3642.424	2.9858E-16	0
3643.958	3.4362E-16	0
3645.492	3.0543E-16	0
3647.027	3.5321E-16	0
3648.561	3.0098E-16	0
3650.095	2.6715E-16	0
3651.630	3.4798E-16	0
3653.164	3.0246E-16	0
